make,fuel_type,aspiration,number_of_doors,body_style,drive_wheels,number_of_cylinders,engine_location,wheel_base,length,width,height,curb_weight,engine_size,horsepower,peak_rpm,city_mpg,highway_mpg,price
honda,gas,std,two,hatchback,fwd,four,front,96.5,167.5,65.2,53.3,2289,110,86,5800,27,33,9095
honda,gas,std,four,sedan,fwd,four,front,96.5,175.4,65.2,54.1,2304,110,86,5800,27,33,8845
honda,gas,std,four,sedan,fwd,four,front,96.5,175.4,62.5,54.1,2372,110,86,5800,27,33,10295
honda,gas,std,four,sedan,fwd,four,front,96.5,175.4,65.2,54.1,2465,110,101,5800,24,28,12945
honda,gas,std,two,sedan,fwd,four,front,96.5,169.1,66,51,2293,110,100,5500,25,31,10345
isuzu,gas,std,four,sedan,rwd,four,front,94.3,170.7,61.8,53.5,2337,111,78,4800,24,29,6785
isuzu,gas,std,two,hatchback,rwd,four,front,96,172.6,65.2,51.4,2734,119,90,5000,24,29,11048
jaguar,gas,std,four,sedan,rwd,six,front,113,199.6,69.6,52.8,4066,258,176,4750,15,19,32250
jaguar,gas,std,four,sedan,rwd,six,front,113,199.6,69.6,52.8,4066,258,176,4750,15,19,35550
jaguar,gas,std,two,sedan,rwd,twelve,front,102,191.7,70.6,47.8,3950,326,262,5000,13,17,36000
mazda,gas,std,two,hatchback,fwd,four,front,93.1,159.1,64.2,54.1,1890,91,68,5000,30,31,5195
mazda,gas,std,two,hatchback,fwd,four,front,93.1,159.1,64.2,54.1,1900,91,68,5000,31,38,6095
mazda,gas,std,two,hatchback,fwd,four,front,93.1,159.1,64.2,54.1,1905,91,68,5000,31,38,6795
mazda,gas,std,four,sedan,fwd,four,front,93.1,166.8,64.2,54.1,1945,91,68,5000,31,38,6695
mazda,gas,std,four,sedan,fwd,four,front,93.1,166.8,64.2,54.1,1950,91,68,5000,31,38,7395
mazda,gas,std,two,hatchback,rwd,two,front,95.3,169,65.7,49.6,2380,70,101,6000,17,23,10945
mazda,gas,std,two,hatchback,rwd,two,front,95.3,169,65.7,49.6,2380,70,101,6000,17,23,11845
mazda,gas,std,two,hatchback,rwd,two,front,95.3,169,65.7,49.6,2385,70,101,6000,17,23,13645
mazda,gas,std,two,hatchback,rwd,two,front,95.3,169,65.7,49.6,2500,80,135,6000,16,23,15645
mazda,gas,std,two,hatchback,fwd,four,front,98.8,177.8,66.5,53.7,2385,122,84,4800,26,32,8845
mazda,gas,std,four,sedan,fwd,four,front,98.8,177.8,66.5,55.5,2410,122,84,4800,26,32,8495
mazda,gas,std,two,hatchback,fwd,four,front,98.8,177.8,66.5,53.7,2385,122,84,4800,26,32,10595
mazda,gas,std,four,sedan,fwd,four,front,98.8,177.8,66.5,55.5,2410,122,84,4800,26,32,10245
mazda,diesel,std,four,sedan,fwd,four,front,98.8,177.8,66.5,55.5,2443,122,64,4650,36,42,10795
mazda,gas,std,four,hatchback,fwd,four,front,98.8,177.8,66.5,55.5,2425,122,84,4800,26,32,11245
mazda,gas,std,four,sedan,rwd,four,front,104.9,175,66.1,54.4,2670,140,120,5000,19,27,18280
mazda,diesel,std,four,sedan,rwd,four,front,104.9,175,66.1,54.4,2700,134,72,4200,31,39,18344
mercedes-benz,diesel,turbo,four,sedan,rwd,five,front,110,190.9,70.3,56.5,3515,183,123,4350,22,25,25552
mercedes-benz,diesel,turbo,four,wagon,rwd,five,front,110,190.9,70.3,58.7,3750,183,123,4350,22,25,28248
mercedes-benz,diesel,turbo,two,hardtop,rwd,five,front,106.7,187.5,70.3,54.9,3495,183,123,4350,22,25,28176
mercedes-benz,diesel,turbo,four,sedan,rwd,five,front,115.6,202.6,71.7,56.3,3770,183,123,4350,22,25,31600
mercedes-benz,gas,std,four,sedan,rwd,eight,front,115.6,202.6,71.7,56.5,3740,234,155,4750,16,18,34184
mercedes-benz,gas,std,two,convertible,rwd,eight,front,96.6,180.3,70.5,50.8,3685,234,155,4750,16,18,35056
mercedes-benz,gas,std,four,sedan,rwd,eight,front,120.9,208.1,71.7,56.7,3900,308,184,4500,14,16,40960
mercedes-benz,gas,std,two,hardtop,rwd,eight,front,112,199.2,72,55.4,3715,304,184,4500,14,16,45400
mercury,gas,turbo,two,hatchback,rwd,four,front,102.7,178.4,68,54.8,2910,140,175,5000,19,24,16503
mitsubishi,gas,std,two,hatchback,fwd,four,front,93.7,157.3,64.4,50.8,1918,92,68,5500,37,41,5389
mitsubishi,gas,std,two,hatchback,fwd,four,front,93.7,157.3,64.4,50.8,1944,92,68,5500,31,38,6189
mitsubishi,gas,std,two,hatchback,fwd,four,front,93.7,157.3,64.4,50.8,2004,92,68,5500,31,38,6669
mitsubishi,gas,turbo,two,hatchback,fwd,four,front,93,157.3,63.8,50.8,2145,98,102,5500,24,30,7689
mitsubishi,gas,turbo,two,hatchback,fwd,four,front,96.3,173,65.4,49.4,2370,110,116,5500,23,30,9959
mitsubishi,gas,std,two,hatchback,fwd,four,front,96.3,173,65.4,49.4,2328,122,88,5000,25,32,8499
mitsubishi,gas,turbo,two,hatchback,fwd,four,front,95.9,173.2,66.3,50.2,2833,156,145,5000,19,24,12629
mitsubishi,gas,turbo,two,hatchback,fwd,four,front,95.9,173.2,66.3,50.2,2921,156,145,5000,19,24,14869
mitsubishi,gas,turbo,two,hatchback,fwd,four,front,95.9,173.2,66.3,50.2,2926,156,145,5000,19,24,14489
mitsubishi,gas,std,four,sedan,fwd,four,front,96.3,172.4,65.4,51.6,2365,122,88,5000,25,32,6989
mitsubishi,gas,std,four,sedan,fwd,four,front,96.3,172.4,65.4,51.6,2405,122,88,5000,25,32,8189
mitsubishi,gas,turbo,four,sedan,fwd,four,front,96.3,172.4,65.4,51.6,2403,110,116,5500,23,30,9279
mitsubishi,gas,std,four,sedan,fwd,four,front,96.3,172.4,65.4,51.6,2403,110,116,5500,23,30,9279
nissan,gas,std,two,sedan,fwd,four,front,94.5,165.3,63.8,54.5,1889,97,69,5200,31,37,5499
nissan,diesel,std,two,sedan,fwd,four,front,94.5,165.3,63.8,54.5,2017,103,55,4800,45,50,7099
nissan,gas,std,two,sedan,fwd,four,front,94.5,165.3,63.8,54.5,1918,97,69,5200,31,37,6649
nissan,gas,std,four,sedan,fwd,four,front,94.5,165.3,63.8,54.5,1938,97,69,5200,31,37,6849
nissan,gas,std,four,wagon,fwd,four,front,94.5,170.2,63.8,53.5,2024,97,69,5200,31,37,7349
nissan,gas,std,two,sedan,fwd,four,front,94.5,165.3,63.8,54.5,1951,97,69,5200,31,37,7299
nissan,gas,std,two,hatchback,fwd,four,front,94.5,165.6,63.8,53.3,2028,97,69,5200,31,37,7799
nissan,gas,std,four,sedan,fwd,four,front,94.5,165.3,63.8,54.5,1971,97,69,5200,31,37,7499
nissan,gas,std,four,wagon,fwd,four,front,94.5,170.2,63.8,53.5,2037,97,69,5200,31,37,7999
nissan,gas,std,two,hardtop,fwd,four,front,95.1,162.4,63.8,53.3,2008,97,69,5200,31,37,8249
nissan,gas,std,four,hatchback,fwd,four,front,97.2,173.4,65.2,54.7,2324,120,97,5200,27,34,8949
nissan,gas,std,four,sedan,fwd,four,front,97.2,173.4,65.2,54.7,2302,120,97,5200,27,34,9549
nissan,gas,std,four,sedan,fwd,six,front,100.4,181.7,66.5,55.1,3095,181,152,5200,17,22,13499
nissan,gas,std,four,wagon,fwd,six,front,100.4,184.6,66.5,56.1,3296,181,152,5200,17,22,14399
nissan,gas,std,four,sedan,fwd,six,front,100.4,184.6,66.5,55.1,3060,181,152,5200,19,25,13499
nissan,gas,std,two,hatchback,rwd,six,front,91.3,170.7,67.9,49.7,3071,181,160,5200,19,25,17199
nissan,gas,turbo,two,hatchback,rwd,six,front,91.3,170.7,67.9,49.7,3139,181,200,5200,17,23,19699
nissan,gas,std,two,hatchback,rwd,six,front,99.2,178.5,67.9,49.7,3139,181,160,5200,19,25,18399
peugot,gas,std,four,sedan,rwd,four,front,107.9,186.7,68.4,56.7,3020,120,97,5000,19,24,11900
peugot,diesel,turbo,four,sedan,rwd,four,front,107.9,186.7,68.4,56.7,3197,152,95,4150,28,33,13200
peugot,gas,std,four,wagon,rwd,four,front,114.2,198.9,68.4,58.7,3230,120,97,5000,19,24,12440
peugot,diesel,turbo,four,wagon,rwd,four,front,114.2,198.9,68.4,58.7,3430,152,95,4150,25,25,13860
peugot,gas,std,four,sedan,rwd,four,front,107.9,186.7,68.4,56.7,3075,120,95,5000,19,24,15580
peugot,diesel,turbo,four,sedan,rwd,four,front,107.9,186.7,68.4,56.7,3252,152,95,4150,28,33,16900
peugot,gas,std,four,wagon,rwd,four,front,114.2,198.9,68.4,56.7,3285,120,95,5000,19,24,16695
peugot,diesel,turbo,four,wagon,rwd,four,front,114.2,198.9,68.4,58.7,3485,152,95,4150,25,25,17075
peugot,gas,std,four,sedan,rwd,four,front,107.9,186.7,68.4,56.7,3075,120,97,5000,19,24,16630
peugot,diesel,turbo,four,sedan,rwd,four,front,107.9,186.7,68.4,56.7,3252,152,95,4150,28,33,17950
peugot,gas,turbo,four,sedan,rwd,four,front,108,186.7,68.3,56,3130,134,142,5600,18,24,18150
plymouth,gas,std,two,hatchback,fwd,four,front,93.7,157.3,63.8,50.8,1918,90,68,5500,37,41,5572
plymouth,gas,turbo,two,hatchback,fwd,four,front,93.7,157.3,63.8,50.8,2128,98,102,5500,24,30,7957
plymouth,gas,std,four,hatchback,fwd,four,front,93.7,157.3,63.8,50.6,1967,90,68,5500,31,38,6229
plymouth,gas,std,four,sedan,fwd,four,front,93.7,167.3,63.8,50.8,1989,90,68,5500,31,38,6692
plymouth,gas,std,four,sedan,fwd,four,front,93.7,167.3,63.8,50.8,2191,98,68,5500,31,38,7609
plymouth,gas,std,four,wagon,fwd,four,front,103.3,174.6,64.6,59.8,2535,122,88,5000,24,30,8921
plymouth,gas,turbo,two,hatchback,rwd,four,front,95.9,173.2,66.3,50.2,2818,156,145,5000,19,24,12764
porsche,gas,std,two,hatchback,rwd,four,front,94.5,168.9,68.3,50.2,2778,151,143,5500,19,27,22018
porsche,gas,std,two,hardtop,rwd,six,rear,89.5,168.9,65,51.6,2756,194,207,5900,17,25,32528
porsche,gas,std,two,hardtop,rwd,six,rear,89.5,168.9,65,51.6,2756,194,207,5900,17,25,34028
porsche,gas,std,two,convertible,rwd,six,rear,89.5,168.9,65,51.6,2800,194,207,5900,17,25,37028
renault,gas,std,four,wagon,fwd,four,front,96.1,181.5,66.5,55.2,2579,132,90,5500,23,31,9295
renault,gas,std,two,hatchback,fwd,four,front,96.1,176.8,66.6,50.5,2460,132,90,5500,23,31,9895
saab,gas,std,two,hatchback,fwd,four,front,99.1,186.6,66.5,56.1,2658,121,110,5250,21,28,11850
saab,gas,std,four,sedan,fwd,four,front,99.1,186.6,66.5,56.1,2695,121,110,5250,21,28,12170
saab,gas,std,two,hatchback,fwd,four,front,99.1,186.6,66.5,56.1,2707,121,110,5250,21,28,15040
saab,gas,std,four,sedan,fwd,four,front,99.1,186.6,66.5,56.1,2758,121,110,5250,21,28,15510
saab,gas,turbo,two,hatchback,fwd,four,front,99.1,186.6,66.5,56.1,2808,121,160,5500,19,26,18150
saab,gas,turbo,four,sedan,fwd,four,front,99.1,186.6,66.5,56.1,2847,121,160,5500,19,26,18620
subaru,gas,std,two,hatchback,fwd,four,front,93.7,156.9,63.4,53.7,2050,97,69,4900,31,36,5118
subaru,gas,std,two,hatchback,fwd,four,front,93.7,157.9,63.6,53.7,2120,108,73,4400,26,31,7053
subaru,gas,std,two,hatchback,4wd,four,front,93.3,157.3,63.8,55.7,2240,108,73,4400,26,31,7603
subaru,gas,std,four,sedan,fwd,four,front,97.2,172,65.4,52.5,2145,108,82,4800,32,37,7126
subaru,gas,std,four,sedan,fwd,four,front,97.2,172,65.4,52.5,2190,108,82,4400,28,33,7775
subaru,gas,std,four,sedan,fwd,four,front,97.2,172,65.4,52.5,2340,108,94,5200,26,32,9960
subaru,gas,std,four,sedan,4wd,four,front,97,172,65.4,54.3,2385,108,82,4800,24,25,9233
subaru,gas,turbo,four,sedan,4wd,four,front,97,172,65.4,54.3,2510,108,111,4800,24,29,11259
subaru,gas,std,four,wagon,fwd,four,front,97,173.5,65.4,53,2290,108,82,4800,28,32,7463
subaru,gas,std,four,wagon,fwd,four,front,97,173.5,65.4,53,2455,108,94,5200,25,31,10198
subaru,gas,std,four,wagon,4wd,four,front,96.9,173.6,65.4,54.9,2420,108,82,4800,23,29,8013
subaru,gas,turbo,four,wagon,4wd,four,front,96.9,173.6,65.4,54.9,2650,108,111,4800,23,23,11694
toyota,gas,std,two,hatchback,fwd,four,front,95.7,158.7,63.6,54.5,1985,92,62,4800,35,39,5348
toyota,gas,std,two,hatchback,fwd,four,front,95.7,158.7,63.6,54.5,2040,92,62,4800,31,38,6338
toyota,gas,std,four,hatchback,fwd,four,front,95.7,158.7,63.6,54.5,2015,92,62,4800,31,38,6488
toyota,gas,std,four,wagon,fwd,four,front,95.7,169.7,63.6,59.1,2280,92,62,4800,31,37,6918
toyota,gas,std,four,wagon,4wd,four,front,95.7,169.7,63.6,59.1,2290,92,62,4800,27,32,7898
toyota,gas,std,four,wagon,4wd,four,front,95.7,169.7,63.6,59.1,3110,92,62,4800,27,32,8778
toyota,gas,std,four,sedan,fwd,four,front,95.7,166.3,64.4,53,2081,98,70,4800,30,37,6938
toyota,gas,std,four,hatchback,fwd,four,front,95.7,166.3,64.4,52.8,2109,98,70,4800,30,37,7198
toyota,diesel,std,four,sedan,fwd,four,front,95.7,166.3,64.4,53,2275,110,56,4500,34,36,7898
toyota,diesel,std,four,hatchback,fwd,four,front,95.7,166.3,64.4,52.8,2275,110,56,4500,38,47,7788
toyota,gas,std,four,sedan,fwd,four,front,95.7,166.3,64.4,53,2094,98,70,4800,38,47,7738
toyota,gas,std,four,hatchback,fwd,four,front,95.7,166.3,64.4,52.8,2122,98,70,4800,28,34,8358
toyota,gas,std,four,sedan,fwd,four,front,95.7,166.3,64.4,52.8,2140,98,70,4800,28,34,9258
toyota,gas,std,two,sedan,rwd,four,front,94.5,168.7,64,52.6,2169,98,70,4800,29,34,8058
toyota,gas,std,two,hatchback,rwd,four,front,94.5,168.7,64,52.6,2204,98,70,4800,29,34,8238
toyota,gas,std,two,sedan,rwd,four,front,94.5,168.7,64,52.6,2265,98,112,6600,26,29,9298
toyota,gas,std,two,hatchback,rwd,four,front,94.5,168.7,64,52.6,2300,98,112,6600,26,29,9538
toyota,gas,std,two,hardtop,rwd,four,front,98.4,176.2,65.6,52,2540,146,116,4800,24,30,8449
toyota,gas,std,two,hardtop,rwd,four,front,98.4,176.2,65.6,52,2536,146,116,4800,24,30,9639
toyota,gas,std,two,hatchback,rwd,four,front,98.4,176.2,65.6,52,2551,146,116,4800,24,30,9989
toyota,gas,std,two,hardtop,rwd,four,front,98.4,176.2,65.6,52,2679,146,116,4800,24,30,11199
toyota,gas,std,two,hatchback,rwd,four,front,98.4,176.2,65.6,52,2714,146,116,4800,24,30,11549
toyota,gas,std,two,convertible,rwd,four,front,98.4,176.2,65.6,53,2975,146,116,4800,24,30,17669
toyota,gas,std,four,sedan,fwd,four,front,102.4,175.6,66.5,54.9,2326,122,92,4200,29,34,8948
toyota,diesel,turbo,four,sedan,fwd,four,front,102.4,175.6,66.5,54.9,2480,110,73,4500,30,33,10698
toyota,gas,std,four,hatchback,fwd,four,front,102.4,175.6,66.5,53.9,2414,122,92,4200,27,32,9988
toyota,gas,std,four,sedan,fwd,four,front,102.4,175.6,66.5,54.9,2414,122,92,4200,27,32,10898
toyota,gas,std,four,hatchback,fwd,four,front,102.4,175.6,66.5,53.9,2458,122,92,4200,27,32,11248
toyota,gas,std,two,hatchback,rwd,six,front,102.9,183.5,67.7,52,2976,171,161,5200,20,24,16558
toyota,gas,std,two,hatchback,rwd,six,front,102.9,183.5,67.7,52,3016,171,161,5200,19,24,15998
toyota,gas,std,four,sedan,rwd,six,front,104.5,187.8,66.5,54.1,3131,171,156,5200,20,24,15690
toyota,gas,std,four,wagon,rwd,six,front,104.5,187.8,66.5,54.1,3151,161,156,5200,19,24,15750
volkswagen,diesel,std,two,sedan,fwd,four,front,97.3,171.7,65.5,55.7,2261,97,52,4800,37,46,7775
volkswagen,gas,std,two,sedan,fwd,four,front,97.3,171.7,65.5,55.7,2209,109,85,5250,27,34,7975
volkswagen,diesel,std,four,sedan,fwd,four,front,97.3,171.7,65.5,55.7,2264,97,52,4800,37,46,7995
volkswagen,gas,std,four,sedan,fwd,four,front,97.3,171.7,65.5,55.7,2212,109,85,5250,27,34,8195
volkswagen,gas,std,four,sedan,fwd,four,front,97.3,171.7,65.5,55.7,2275,109,85,5250,27,34,8495
volkswagen,diesel,turbo,four,sedan,fwd,four,front,97.3,171.7,65.5,55.7,2319,97,68,4500,37,42,9495
volkswagen,gas,std,four,sedan,fwd,four,front,97.3,171.7,65.5,55.7,2300,109,100,5500,26,32,9995
volkswagen,gas,std,two,convertible,fwd,four,front,94.5,159.3,64.2,55.6,2254,109,90,5500,24,29,11595
volkswagen,gas,std,two,hatchback,fwd,four,front,94.5,165.7,64,51.4,2221,109,90,5500,24,29,9980
volkswagen,gas,std,four,sedan,fwd,five,front,100.4,180.2,66.9,55.1,2661,136,110,5500,19,24,13295
volkswagen,diesel,turbo,four,sedan,fwd,four,front,100.4,180.2,66.9,55.1,2579,97,68,4500,33,38,13845
volkswagen,gas,std,four,wagon,fwd,four,front,100.4,183.1,66.9,55.1,2563,109,88,5500,25,31,12290
volvo,gas,std,four,sedan,rwd,four,front,104.3,188.8,67.2,56.2,2912,141,114,5400,23,28,12940
volvo,gas,std,four,wagon,rwd,four,front,104.3,188.8,67.2,57.5,3034,141,114,5400,23,28,13415
volvo,gas,std,four,sedan,rwd,four,front,104.3,188.8,67.2,56.2,2935,141,114,5400,24,28,15985
volvo,gas,std,four,wagon,rwd,four,front,104.3,188.8,67.2,57.5,3042,141,114,5400,24,28,16515
volvo,gas,turbo,four,sedan,rwd,four,front,104.3,188.8,67.2,56.2,3045,130,162,5100,17,22,18420
volvo,gas,turbo,four,wagon,rwd,four,front,104.3,188.8,67.2,57.5,3157,130,162,5100,17,22,18950
volvo,gas,std,four,sedan,rwd,four,front,109.1,188.8,68.9,55.5,2952,141,114,5400,23,28,16845
volvo,gas,turbo,four,sedan,rwd,four,front,109.1,188.8,68.8,55.5,3049,141,160,5300,19,25,19045
volvo,gas,std,four,sedan,rwd,six,front,109.1,188.8,68.9,55.5,3012,173,134,5500,18,23,21485
volvo,diesel,turbo,four,sedan,rwd,six,front,109.1,188.8,68.9,55.5,3217,145,106,4800,26,27,22470
volvo,gas,turbo,four,sedan,rwd,four,front,109.1,188.8,68.9,55.5,3062,141,114,5400,19,25,22625
